iter	Passed	Remaining
0	141	141557
1	142	71026
2	142	47500
3	143	35744
4	144	28696
5	144	23986
6	145	20619
7	145	18092
8	146	16124
9	147	14564
10	147	13286
11	148	12221
12	149	11315
13	149	10534
14	150	9865
15	150	9281
16	151	8764
17	152	8300
18	152	7880
19	153	7506
20	153	7164
21	154	6856
22	154	6573
23	155	6318
24	156	6086
25	156	5867
26	157	5664
27	157	5478
28	158	5303
29	158	5137
30	159	4982
31	159	4835
32	160	4706
33	161	4583
34	161	4462
35	162	4348
36	162	4241
37	163	4140
38	164	4047
39	164	3954
40	165	3867
41	165	3783
42	166	3704
43	167	3648
44	168	3584
45	169	3515
46	170	3447
47	170	3382
48	171	3321
49	171	3264
50	172	3208
51	173	3154
52	173	3101
53	174	3052
54	174	3005
55	175	2960
56	176	2916
57	176	2873
58	177	2833
59	178	2792
60	178	2753
61	179	2714
62	179	2676
63	180	2640
64	181	2606
65	181	2574
66	182	2544
67	183	2514
68	184	2485
69	184	2455
70	185	2426
71	186	2398
72	186	2371
73	187	2346
74	188	2321
75	188	2296
76	189	2272
77	190	2247
78	190	2224
79	191	2200
80	191	2177
81	192	2156
82	192	2131
83	193	2111
84	194	2091
85	194	2071
86	195	2052
87	196	2033
88	196	2014
89	197	1995
90	198	1978
91	198	1960
92	199	1943
93	199	1927
94	200	1911
95	201	1894
96	201	1879
97	202	1863
98	202	1846
99	203	1832
100	204	1817
101	204	1803
102	205	1789
103	206	1775
104	206	1761
105	207	1747
106	207	1735
107	208	1722
108	209	1710
109	209	1698
110	210	1685
111	211	1673
112	211	1661
113	212	1649
114	212	1637
115	213	1625
116	213	1613
117	214	1602
118	215	1592
119	215	1582
120	216	1572
121	216	1561
122	217	1550
123	218	1540
124	218	1530
125	219	1520
126	219	1510
127	220	1501
128	221	1493
129	221	1484
130	222	1475
131	223	1466
132	223	1457
133	224	1449
134	224	1440
135	225	1431
136	226	1424
137	226	1416
138	227	1408
139	227	1400
140	228	1392
141	229	1383
142	229	1376
143	230	1368
144	230	1360
145	231	1354
146	232	1348
147	232	1341
148	233	1334
149	234	1327
150	234	1320
151	235	1313
152	236	1306
153	236	1299
154	237	1293
155	237	1286
156	238	1280
157	239	1273
158	239	1268
159	240	1262
160	240	1255
161	241	1249
162	242	1243
163	242	1237
164	243	1232
165	243	1225
166	244	1219
167	245	1213
168	245	1207
169	245	1200
170	246	1194
171	246	1188
172	247	1183
173	248	1178
174	248	1172
175	249	1167
176	249	1161
177	250	1156
178	250	1150
179	251	1145
180	252	1140
181	252	1135
182	253	1131
183	254	1126
184	254	1121
185	255	1117
186	255	1112
187	256	1107
188	257	1102
189	257	1098
190	258	1093
191	258	1089
192	259	1084
193	260	1080
194	260	1076
195	261	1072
196	261	1067
197	262	1063
198	263	1058
199	263	1054
200	264	1050
201	264	1046
202	265	1042
203	266	1038
204	266	1034
205	267	1030
206	268	1026
207	268	1022
208	269	1018
209	269	1015
210	270	1011
211	271	1007
212	271	1004
213	272	1001
214	273	997
215	273	993
216	274	989
217	275	986
218	275	983
219	276	979
220	277	976
221	277	973
222	278	969
223	278	966
224	279	962
225	280	958
226	280	955
227	281	952
228	281	949
229	282	945
230	283	942
231	283	939
232	284	935
233	284	932
234	285	928
235	286	926
236	286	922
237	287	919
238	287	916
239	288	913
240	289	910
241	289	906
242	290	903
243	290	900
244	291	898
245	292	895
246	292	892
247	293	889
248	294	886
249	294	884
250	295	881
251	295	878
252	296	875
253	297	872
254	297	869
255	298	866
256	298	864
257	299	861
258	300	858
259	300	856
260	301	853
261	302	850
262	302	848
263	303	845
264	303	843
265	304	840
266	305	837
267	305	835
268	306	832
269	306	829
270	307	827
271	308	825
272	308	822
273	309	820
274	310	817
275	310	815
276	311	812
277	311	809
278	312	807
279	313	805
280	313	803
281	314	800
282	315	798
283	315	795
284	316	793
285	316	791
286	317	788
287	318	786
288	318	784
289	319	782
290	320	780
291	320	777
292	321	775
293	322	773
294	322	770
295	323	768
296	323	766
297	324	764
298	325	762
299	325	760
300	326	758
301	327	756
302	327	753
303	328	751
304	328	749
305	329	747
306	330	745
307	330	743
308	331	741
309	332	739
310	332	737
311	333	734
312	333	732
313	334	730
314	335	728
315	335	726
316	336	725
317	337	723
318	337	721
319	338	718
320	338	716
321	339	714
322	340	712
323	340	710
324	341	708
325	341	707
326	342	705
327	343	703
328	343	701
329	344	699
330	344	697
331	345	695
332	346	693
333	347	691
334	347	690
335	348	688
336	348	686
337	349	684
338	350	682
339	350	681
340	351	679
341	352	677
342	352	675
343	353	674
344	354	672
345	354	670
346	355	668
347	355	666
348	356	665
349	357	663
350	357	661
351	358	660
352	359	658
353	359	656
354	360	654
355	360	652
356	361	651
357	362	649
358	362	648
359	363	646
360	364	644
361	364	642
362	365	641
363	365	639
364	366	637
365	367	635
366	367	634
367	368	632
368	369	631
369	369	629
370	370	627
371	370	625
372	371	624
373	371	622
374	372	621
375	373	619
376	373	617
377	374	616
378	375	614
379	375	613
380	376	611
381	376	609
382	377	608
383	378	606
384	378	604
385	379	603
386	379	601
387	380	600
388	381	598
389	381	597
390	382	595
391	383	594
392	383	592
393	384	591
394	385	589
395	385	588
396	386	587
397	387	585
398	387	584
399	388	582
400	389	581
401	389	579
402	390	578
403	390	576
404	391	575
405	392	573
406	392	572
407	393	571
408	394	569
409	394	568
410	395	566
411	396	565
412	396	564
413	397	562
414	398	561
415	398	559
416	399	558
417	400	557
418	400	555
419	401	554
420	402	553
421	403	552
422	403	550
423	404	549
424	405	548
425	405	546
426	406	545
427	406	543
428	407	542
429	408	541
430	409	540
431	409	538
432	410	537
433	411	536
434	412	535
435	412	533
436	413	532
437	414	531
438	414	530
439	415	528
440	416	527
441	416	526
442	417	525
443	418	523
444	418	522
445	419	521
446	419	519
447	420	518
448	421	516
449	421	515
450	422	514
451	422	512
452	423	511
453	423	509
454	424	508
455	425	507
456	425	505
457	426	504
458	426	502
459	427	501
460	427	500
461	428	499
462	429	497
463	429	496
464	430	495
465	430	493
466	431	492
467	432	491
468	432	489
469	433	489
470	434	487
471	435	486
472	435	485
473	436	484
474	436	482
475	437	481
476	438	480
477	438	479
478	439	478
479	440	477
480	441	475
481	441	474
482	442	473
483	442	472
484	443	470
485	444	469
486	444	468
487	445	467
488	446	466
489	446	465
490	447	463
491	448	462
492	448	461
493	449	460
494	450	459
495	450	457
496	451	456
497	451	455
498	452	454
499	453	453
500	453	451
501	454	450
502	454	449
503	455	448
504	456	446
505	456	445
506	457	444
507	457	443
508	458	442
509	459	441
510	460	440
511	460	439
512	461	438
513	462	437
514	463	436
515	463	435
516	464	433
517	465	432
518	465	431
519	466	430
520	467	429
521	467	428
522	468	427
523	468	426
524	469	424
525	470	423
526	470	422
527	471	421
528	472	420
529	472	419
530	473	417
531	473	416
532	474	415
533	474	414
534	475	413
535	475	411
536	476	410
537	477	409
538	477	408
539	478	407
540	478	406
541	479	404
542	479	403
543	480	402
544	480	401
545	481	400
546	482	399
547	482	398
548	483	397
549	484	396
550	484	394
551	485	393
552	485	392
553	486	391
554	486	390
555	487	389
556	488	388
557	488	387
558	489	386
559	490	385
560	490	384
561	491	382
562	492	381
563	492	380
564	493	379
565	493	378
566	494	377
567	495	376
568	495	375
569	496	374
570	496	373
571	497	372
572	498	371
573	498	370
574	499	369
575	499	368
576	500	366
577	501	365
578	501	364
579	502	363
580	502	362
581	503	361
582	504	360
583	504	359
584	505	358
585	506	357
586	506	356
587	507	355
588	508	354
589	508	353
590	509	352
591	509	351
592	510	350
593	511	349
594	512	348
595	512	347
596	513	346
597	513	345
598	514	344
599	515	343
600	515	342
601	516	341
602	517	340
603	517	339
604	518	338
605	518	337
606	519	336
607	520	335
608	520	334
609	521	333
610	522	332
611	522	331
612	523	330
613	523	329
614	524	328
615	525	327
616	525	326
617	526	325
618	527	324
619	528	323
620	528	322
621	529	321
622	530	320
623	530	319
624	531	318
625	532	317
626	532	316
627	533	315
628	534	315
629	534	314
630	535	313
631	535	312
632	536	310
633	536	309
634	537	308
635	538	307
636	538	306
637	539	305
638	539	304
639	540	303
640	540	302
641	541	301
642	541	300
643	542	299
644	543	298
645	543	297
646	544	296
647	545	296
648	545	295
649	546	294
650	546	293
651	547	292
652	547	291
653	548	290
654	549	289
655	549	288
656	550	287
657	550	286
658	551	285
659	552	284
660	552	283
661	553	282
662	553	281
663	554	280
664	555	279
665	555	278
666	556	277
667	556	276
668	557	275
669	557	274
670	558	273
671	559	273
672	560	272
673	560	271
674	561	270
675	561	269
676	562	268
677	563	267
678	563	266
679	564	265
680	564	264
681	565	263
682	566	262
683	566	261
684	567	260
685	568	260
686	568	259
687	569	258
688	569	257
689	570	256
690	571	255
691	571	254
692	572	253
693	573	252
694	573	251
695	574	250
696	575	249
697	575	249
698	576	248
699	577	247
700	577	246
701	578	245
702	578	244
703	579	243
704	579	242
705	580	241
706	581	240
707	581	239
708	582	239
709	583	238
710	583	237
711	584	236
712	584	235
713	585	234
714	586	233
715	586	232
716	587	231
717	588	231
718	588	230
719	589	229
720	590	228
721	590	227
722	591	226
723	592	225
724	592	224
725	593	224
726	594	223
727	594	222
728	595	221
729	596	220
730	596	219
731	597	218
732	597	217
733	598	216
734	598	215
735	599	214
736	599	214
737	600	213
738	600	212
739	601	211
740	602	210
741	602	209
742	603	208
743	603	207
744	604	206
745	605	205
746	605	205
747	606	204
748	606	203
749	607	202
750	607	201
751	608	200
752	608	199
753	609	198
754	610	198
755	610	197
756	611	196
757	611	195
758	612	194
759	612	193
760	613	192
761	614	191
762	614	190
763	615	190
764	616	189
765	616	188
766	617	187
767	617	186
768	618	185
769	619	184
770	619	184
771	620	183
772	621	182
773	621	181
774	622	180
775	622	179
776	623	178
777	624	178
778	624	177
779	625	176
780	625	175
781	626	174
782	627	173
783	628	173
784	628	172
785	629	171
786	629	170
787	630	169
788	631	168
789	631	167
790	632	167
791	633	166
792	633	165
793	634	164
794	635	163
795	635	162
796	636	162
797	637	161
798	637	160
799	638	159
800	638	158
801	639	157
802	639	156
803	640	156
804	640	155
805	641	154
806	641	153
807	642	152
808	643	151
809	643	150
810	644	150
811	644	149
812	645	148
813	645	147
814	646	146
815	647	145
816	647	145
817	648	144
818	649	143
819	649	142
820	650	141
821	650	140
822	651	140
823	652	139
824	652	138
825	653	137
826	653	136
827	654	135
828	655	135
829	655	134
830	656	133
831	657	132
832	657	131
833	658	131
834	659	130
835	659	129
836	660	128
837	660	127
838	661	126
839	662	126
840	662	125
841	663	124
842	664	123
843	664	122
844	665	122
845	665	121
846	666	120
847	667	119
848	667	118
849	668	117
850	668	117
851	669	116
852	670	115
853	670	114
854	671	113
855	671	112
856	672	112
857	672	111
858	673	110
859	673	109
860	674	108
861	674	108
862	675	107
863	675	106
864	676	105
865	677	104
866	677	103
867	678	103
868	678	102
869	679	101
870	679	100
871	680	99
872	681	99
873	681	98
874	682	97
875	682	96
876	683	95
877	684	95
878	684	94
879	685	93
880	686	92
881	686	91
882	687	91
883	688	90
884	689	89
885	690	88
886	690	88
887	691	87
888	692	86
889	692	85
890	693	84
891	694	84
892	694	83
893	695	82
894	695	81
895	696	80
896	697	80
897	698	79
898	698	78
899	699	77
900	700	76
901	700	76
902	701	75
903	701	74
904	702	73
905	703	72
906	703	72
907	704	71
908	704	70
909	705	69
910	705	68
911	706	68
912	707	67
913	707	66
914	708	65
915	709	65
916	709	64
917	710	63
918	710	62
919	711	61
920	711	61
921	712	60
922	713	59
923	713	58
924	714	57
925	714	57
926	715	56
927	716	55
928	716	54
929	717	54
930	718	53
931	719	52
932	719	51
933	720	50
934	720	50
935	721	49
936	722	48
937	723	47
938	723	47
939	724	46
940	725	45
941	725	44
942	726	43
943	727	43
944	727	42
945	728	41
946	728	40
947	729	40
948	730	39
949	730	38
950	731	37
951	731	36
952	732	36
953	733	35
954	733	34
955	734	33
956	734	33
957	735	32
958	736	31
959	736	30
960	737	29
961	737	29
962	738	28
963	739	27
964	739	26
965	740	26
966	741	25
967	741	24
968	742	23
969	742	22
970	743	22
971	743	21
972	744	20
973	745	19
974	745	19
975	746	18
976	747	17
977	747	16
978	748	16
979	748	15
980	749	14
981	749	13
982	750	12
983	751	12
984	751	11
985	752	10
986	753	9
987	753	9
988	754	8
989	754	7
990	755	6
991	755	6
992	756	5
993	757	4
994	757	3
995	758	3
996	758	2
997	759	1
998	760	0
999	760	0
